element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Fe,1,"=""5146.306""","=""0.004""","=""5146.3070""","=""0.0004""","=""151""","=""2.7e+05""",E,"=""35257.324""","=""54683.322""","=""3d7.(4F).4p""","=""z 5G*""","=""4""","=""3d7.(4F).4d""","=""f 3F""","=""4""",,"=""T2578n""","=""L11631""",
Fe,2,"=""5148.0424""","=""0.0002""","=""5148.0497""","=""0.0016""","=""180bl(Fe I)""","=""""",,"=""103832.057""","=""123251.479""","=""3d6.(3H).4d""","=""4K""","=""13/2""","=""3d6.(3H<5>).4f""","=""2[6]*""","=""11/2""",,"=""""","=""L18349c148""",
Fe,1,"=""5148.0425""","=""0.0008""","=""5148.0420""","=""0.0004""","=""2040""","=""""",,"=""34547.211""","=""53966.662""","=""3d7.(4F).4p""","=""y 5F*""","=""2""","=""3d7.(4F).4d""","=""h 5D""","=""2""",,"=""""","=""L11631""",
Fe,1,"=""5148.2288""","=""0.0008""","=""5148.2284""","=""0.0004""","=""3470""","=""""",,"=""34328.752""","=""53747.500""","=""3d7.(4F).4p""","=""y 5F*""","=""3""","=""3d7.(4F).4d""","=""f 3D""","=""3""",,"=""""","=""L11631""",
Fe,2,"=""5148.5333""","=""0.0013""","=""5148.5330""","=""0.0008""","=""16""","=""""",,"=""103832.057""","=""123249.656""","=""3d6.(3H).4d""","=""4K""","=""13/2""","=""3d6.(3H<5>).4f""","=""2[6]*""","=""13/2""",,"=""""","=""L18349c139""",
Fe,2,"=""5148.684""","=""0.004""","=""5148.6834""","=""0.0011""","=""4""","=""""",,"=""103751.672""","=""123168.704""","=""3d6.(3H).4d""","=""4H""","=""11/2""","=""3d6.(3H<5>).4f""","=""2[7]*""","=""13/2""",,"=""""","=""L18349c139""",
Fe,2,"=""5148.8987""","=""0.0004""","=""5148.8984""","=""0.0004""","=""400""","=""1.61e+07""",C+,"=""83990.106""","=""103406.327""","=""3d6.(5D).4d""","=""6D""","=""3/2""","=""3d6.(5D<3>).4f""","=""2[2]*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""5149.2295""","=""0.0008""","=""5149.2299""","=""0.0005""","=""26""","=""""",,"=""103600.428""","=""123015.399""","=""3d6.(3H).4d""","=""4G""","=""11/2""","=""3d6.(3H<6>).4f""","=""2[6]*""","=""13/2""",,"=""""","=""L18349c139""",
Fe,2,"=""5149.4624""","=""0.0003""","=""5149.46227""","=""0.00021""","=""4000""","=""9.0e+07""",B+,"=""84266.594""","=""103680.689""","=""3d6.(5D).4d""","=""6P""","=""7/2""","=""3d6.(5D<2>).4f""","=""2[5]*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
Cr,1,"=""5149.481""","=""0.005""","=""5149.4814""","=""0.0005""","=""2""","=""""",,"=""25177.3539""","=""44591.3768""","=""3d4.4s2""","=""a 3F""","=""4""","=""3d4.(3F1).4s.4p.(3P*)""","=""y 5G*""","=""5""",,"=""""","=""L14866""",
Fe,2,"=""5150.1967""","=""0.0006""","=""5150.1971""","=""0.0006""","=""32bl(Fe I)""","=""""",,"=""104023.921""","=""123435.246""","=""3d6.(5D).5d""","=""4F""","=""5/2""","=""3d6.(3H<4>).4f""","=""2[4]*""","=""7/2""",,"=""""","=""L18349c139""",
Fe,1,"=""5150.1968""","=""0.0021""","=""5150.1968""","=""0.0004""","=""331""","=""""",,"=""28819.954""","=""48231.280""","=""3d7.(2H).4s""","=""a 1H""","=""5""","=""3d6.(3G).4s.4p.(3P*)""","=""y 5H*""","=""5""",,"=""""","=""L11631""",
Fe,2,"=""5150.256""","=""0.010""","=""5150.2504""","=""0.0013""","=""0.9""","=""""",,"=""108463.918""","=""127875.042""","=""3d6.(3G).4d""","=""4I""","=""13/2""","=""3d6.(3G<4>).4f""","=""2[6]*""","=""13/2""",,"=""""","=""L18349c139""",
Fe,2,"=""5150.4811""","=""0.0003""","=""5150.48129""","=""0.00021""","=""1000""","=""2.63e+07""",B+,"=""84266.594""","=""103676.848""","=""3d6.(5D).4d""","=""6P""","=""7/2""","=""3d6.(5D<2>).4f""","=""2[3]*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""5150.611""","=""0.011""","=""5150.6092""","=""0.0004""","=""5""","=""""",,"=""91199.776""","=""110609.548""","=""3d6.(5D).5p""","=""4D*""","=""1/2""","=""3d6.(3G).4d""","=""4F""","=""3/2""",,"=""""","=""L18349c139""",
Fe,1,"=""5150.8392""","=""0.0008""","=""5150.8390""","=""0.0004""","=""13800""","=""3.30e+04""",C,"=""7985.785""","=""27394.691""","=""3d7.(4F).4s""","=""a 5F""","=""2""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""3""",,"=""T5720""","=""L11631""",
Fe,2,"=""5151.5347""","=""0.0015""","=""5151.5352""","=""0.0008""","=""13""","=""""",,"=""104023.921""","=""123430.204""","=""3d6.(5D).5d""","=""4F""","=""5/2""","=""3d6.(3H<4>).4f""","=""2[3]*""","=""5/2""",,"=""""","=""L18349c139""",
Cr,1,"=""5151.8267""","=""0.0013""","=""5151.8265""","=""0.0003""","=""13""","=""""",,"=""8095.1842""","=""27500.3699""","=""3d4.4s2""","=""a 5D""","=""3""","=""3d4.(5D).4s.4p.(3P*)""","=""z 7D*""","=""3""",,"=""""","=""L14866""",
Fe,2,"=""5151.9104""","=""0.0002""","=""5151.9032""","=""0.0003""","=""5000bl(Fe I)""","=""7.e+04""",D,"=""84296.881""","=""103701.778""","=""3d6.(5D).4d""","=""e 6G""","=""11/2""","=""3d6.(5D<2>).4f""","=""2[4]*""","=""9/2""",,"=""T6892c83""","=""L18349c148""",
Fe,1,"=""5151.911""","=""0.005""","=""5151.9106""","=""0.0004""","=""8700bl""","=""2.39e+04""",A,"=""8154.714""","=""27559.583""","=""3d7.(4F).4s""","=""a 5F""","=""1""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""2""",,"=""T3548""","=""L11631""",
Fe,2,"=""5152.6991""","=""0.0006""","=""5152.7048""","=""0.0005""","=""40""","=""""",,"=""103600.428""","=""123002.306""","=""3d6.(3H).4d""","=""4G""","=""11/2""","=""3d6.(3H<6>).4f""","=""2[5]*""","=""11/2""",,"=""""","=""L18349c139""",
Fe,2,"=""5152.8719""","=""0.0011""","=""5152.8727""","=""0.0003""","=""130""","=""9.e+06""",D+,"=""83990.106""","=""103391.352""","=""3d6.(5D).4d""","=""6D""","=""3/2""","=""3d6.(5D<3>).4f""","=""2[2]*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""5152.9763""","=""0.0004""","=""5152.9763""","=""0.0005""","=""50""","=""""",,"=""103617.577""","=""123018.433""","=""3d6.(3H).4d""","=""4H""","=""13/2""","=""3d6.(3H<6>).4f""","=""2[7]*""","=""15/2""",,"=""""","=""L18349c139""",
Fe,2,"=""5153.7822""","=""0.0005""","=""5153.7823""","=""0.0005""","=""40""","=""""",,"=""103617.577""","=""123015.399""","=""3d6.(3H).4d""","=""4H""","=""13/2""","=""3d6.(3H<6>).4f""","=""2[6]*""","=""13/2""",,"=""""","=""L18349c139""",
Ti,2,"=""5154.0682""","=""0.0005""","=""5154.0682""","=""0.0003""","=""119""","=""5.0e+05""",D,"=""12628.8455""","=""32025.5915""","=""3d3""","=""b 2D2""","=""3/2""","=""3d2.(3F).4p""","=""z 2D*""","=""5/2""",,"=""T2437""","=""u37""",
Fe,1,"=""""","=""""","=""5154.1003""","=""0.0004""","=""""","=""4.43e+05""",C+,"=""31307.245""","=""50703.870""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3F*""","=""4""","=""3d6.(5D).4s (6D).4d""","=""e 5G""","=""5""",,"=""T5720""","=""""",
Fe,2,"=""5154.242""","=""0.002""","=""5154.2411""","=""0.0011""","=""7""","=""""",,"=""103874.261""","=""123270.356""","=""3d6.(3H).4d""","=""4H""","=""9/2""","=""3d6.(3H<5>).4f""","=""2[5]*""","=""11/2""",,"=""""","=""L18349c139""",
Fe,2,"=""5154.6797""","=""0.0015""","=""5154.67992""","=""0.00021""","=""80""","=""3.3e+06""",D+,"=""84266.594""","=""103661.038""","=""3d6.(5D).4d""","=""6P""","=""7/2""","=""3d6.(5D<2>).4f""","=""2[2]*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""5154.7408""","=""0.0012""","=""5154.7413""","=""0.0003""","=""120""","=""3.4e+06""",D+,"=""84296.881""","=""103691.094""","=""3d6.(5D).4d""","=""e 6G""","=""11/2""","=""3d6.(5D<2>).4f""","=""2[5]*""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""5155.187""","=""0.004""","=""5155.1823""","=""0.0006""","=""6""","=""""",,"=""104042.692""","=""123435.246""","=""3d6.(3H).4d""","=""4G""","=""5/2""","=""3d6.(3H<4>).4f""","=""2[4]*""","=""7/2""",,"=""""","=""L18349c139""",
Fe,2,"=""5155.672""","=""0.006""","=""5155.6736""","=""0.0008""","=""13bl(Fe II)*""","=""""",,"=""91070.566""","=""110461.272""","=""3d6.(5D).5p""","=""4F*""","=""5/2""","=""3d6.(3G).4d""","=""2D""","=""3/2""",,"=""""","=""L18349c148""",
Fe,2,"=""5155.672""","=""0.006""","=""5155.6845""","=""0.0005""","=""13bl(Fe II)*""","=""""",,"=""108133.473""","=""127524.138""","=""3d6.(3G).4d""","=""4H""","=""13/2""","=""3d6.(3G<5>).4f""","=""2[8]*""","=""15/2""",,"=""""","=""L18349c148""",
Fe,1,"=""""","=""""","=""5156.3163""","=""0.0004""","=""""","=""1.1e-02""",E,"=""8154.714""","=""27543.003""","=""3d7.(4F).4s""","=""a 5F""","=""1""","=""3d7.(2P).4s""","=""a 1P""","=""1""",M1,"=""T6409""","=""""",
Fe,2,"=""5156.4549""","=""0.0010""","=""5156.4552""","=""0.0008""","=""18""","=""""",,"=""103600.428""","=""122988.195""","=""3d6.(3H).4d""","=""4G""","=""11/2""","=""3d6.(3H<6>).4f""","=""2[4]*""","=""9/2""",,"=""""","=""L18349c139""",
Fe,2,"=""5156.517""","=""0.006""","=""5156.5230""","=""0.0008""","=""9""","=""""",,"=""104042.692""","=""123430.204""","=""3d6.(3H).4d""","=""4G""","=""5/2""","=""3d6.(3H<4>).4f""","=""2[3]*""","=""5/2""",,"=""""","=""L18349c139""",
Fe,2,"=""5156.749""","=""0.006""","=""5156.7443""","=""0.0003""","=""11""","=""""",,"=""90780.623""","=""110167.303""","=""3d6.(5D).5p""","=""4F*""","=""7/2""","=""3d6.(3G).4d""","=""4F""","=""7/2""",,"=""""","=""L18349c139""",
Fe,2,"=""5156.9121""","=""0.0015""","=""5156.9143""","=""0.0003""","=""110""","=""2.3e+06""",D+,"=""84035.172""","=""103421.213""","=""3d6.(5D).4d""","=""e 6G""","=""13/2""","=""3d6.(5D<3>).4f""","=""2[6]*""","=""13/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""5157.2834""","=""0.0004""","=""5157.2862""","=""0.0003""","=""500bl(Fe II)*""","=""2.11e+07""",B+,"=""84326.967""","=""103711.610""","=""3d6.(5D).4d""","=""6P""","=""5/2""","=""3d6.(5D<2>).4f""","=""2[4]*""","=""7/2""",,"=""T6892c83""","=""L18349c148""",
Fe,2,"=""5157.2834""","=""0.0004""","=""5157.2883""","=""0.0003""","=""500bl(Fe II)*""","=""8.e+04""",D,"=""66078.272""","=""85462.907""","=""3d6.(3G).4p""","=""x 4G*""","=""5/2""","=""3d6.(5D).4d""","=""e 4G""","=""7/2""",,"=""T6892c83""","=""L18349c148""",
Fe,2,"=""5157.5154""","=""0.0006""","=""5157.5084""","=""0.0003""","=""260""","=""5.e+04""",D,"=""84296.881""","=""103680.689""","=""3d6.(5D).4d""","=""e 6G""","=""11/2""","=""3d6.(5D<2>).4f""","=""2[5]*""","=""9/2""",,"=""T6892c83""","=""L18349c145""",
Fe,2,"=""5158.014""","=""""","=""5158.0138""","=""0.0004""","="":""","=""3.61e-01""",C+,"=""2430.1369""","=""21812.0454""","=""3d7""","=""a 4F""","=""7/2""","=""3d6.(3P2).4s""","=""b 4P""","=""3/2""",E2,"=""T8961""","=""L22747""",
Fe,2,"=""5158.0591""","=""0.0007""","=""5158.0589""","=""0.0008""","=""31""","=""""",,"=""103973.782""","=""123355.521""","=""3d6.(3H).4d""","=""4K""","=""11/2""","=""3d6.(3H<4>).4f""","=""2[6]*""","=""13/2""",,"=""""","=""L18349c139""",
Fe,2,"=""5158.194""","=""0.003""","=""5158.1981""","=""0.0006""","=""32""","=""""",,"=""89331.199""","=""108712.415""","=""3d6.(5D).5p""","=""6D*""","=""3/2""","=""3d6.(3D).5s""","=""4D""","=""5/2""",,"=""""","=""L18349c139""",
Fe,2,"=""""","=""""","=""5158.7924""","=""0.0003""","=""""","=""4.76e-01""",C+,"=""1872.5998""","=""21251.5833""","=""3d7""","=""a 4F""","=""9/2""","=""3d6.(3H).4s""","=""a 4H""","=""13/2""",E2,"=""T8961""","=""""",
Fe,1,"=""5159.0573""","=""0.0008""","=""5159.0571""","=""0.0004""","=""1580""","=""""",,"=""34547.211""","=""53925.200""","=""3d7.(4F).4p""","=""y 5F*""","=""2""","=""3d7.(4F).4d""","=""f 5P""","=""1""",,"=""""","=""L11631""",
Fe,2,"=""5159.259""","=""0.004""","=""5159.2624""","=""0.0016""","=""6""","=""""",,"=""103874.261""","=""123251.479""","=""3d6.(3H).4d""","=""4H""","=""9/2""","=""3d6.(3H<5>).4f""","=""2[6]*""","=""11/2""",,"=""""","=""L18349c139""",
Fe,2,"=""5159.9088""","=""0.0017""","=""5159.9087""","=""0.0003""","=""100""","=""5.0e+06""",D+,"=""83990.106""","=""103364.897""","=""3d6.(5D).4d""","=""6D""","=""3/2""","=""3d6.(5D<3>).4f""","=""2[3]*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""5160.422""","=""0.007""","=""5160.4222""","=""0.0008""","=""2.6""","=""""",,"=""105063.561""","=""124436.424""","=""3d6.(3F2).4d""","=""4G""","=""11/2""","=""3d6.(3F2<4>).4f""","=""2[7]*""","=""13/2""",,"=""""","=""L18349c139""",
Cr,1,"=""5160.465""","=""0.003""","=""5160.46501""","=""0.00021""","=""3""","=""""",,"=""7927.4410""","=""27300.1433""","=""3d4.4s2""","=""a 5D""","=""2""","=""3d4.(5D).4s.4p.(3P*)""","=""z 7D*""","=""1""",,"=""""","=""L14866""",
Fe,1,"=""""","=""""","=""5160.5674""","=""0.0004""","=""""","=""1.5e-03""",E,"=""415.933""","=""19788.251""","=""3d6.4s2""","=""a 5D""","=""3""","=""3d6.4s2""","=""a 3H""","=""4""",M1,"=""T6409""","=""""",
Cr,1,"=""5160.77""","=""0.03""","=""5160.751""","=""0.016""","=""5""","=""""",,"=""46637.2307""","=""66008.86""","=""3d4.4s.5s""","=""f 7D""","=""3""","=""3d5.4p""","=""p 3G*""","=""3""",,"=""""","=""L808""",
Fe,2,"=""5160.776""","=""0.004""","=""5160.7725""","=""0.0003""","=""31""","=""1.8e+06""",D+,"=""84326.967""","=""103698.515""","=""3d6.(5D).4d""","=""6P""","=""5/2""","=""3d6.(5D<2>).4f""","=""2[3]*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""5160.840""","=""0.003""","=""5160.8394""","=""0.0005""","=""130bl(Fe II)*""","=""9.e+04""",D,"=""44915.057""","=""64286.354""","=""3d6.(1F).4s""","=""c 2F""","=""7/2""","=""3d6.(3F2).4p""","=""z 2F*""","=""7/2""",,"=""T6892c83""","=""L18349c148""",
Fe,2,"=""5160.840""","=""0.003""","=""5160.8423""","=""0.0008""","=""130bl(Fe II)*""","=""""",,"=""103878.370""","=""123249.656""","=""3d6.(3H).4d""","=""4I""","=""15/2""","=""3d6.(3H<5>).4f""","=""2[6]*""","=""13/2""",,"=""""","=""L18349c148""",
Fe,1,"=""5161.297""","=""0.004""","=""5161.2907""","=""0.0004""","=""151""","=""""",,"=""34555.597""","=""53925.200""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3P*""","=""0""","=""3d7.(4F).4d""","=""f 5P""","=""1""",,"=""""","=""L11631""",
Cr,1,"=""5161.763""","=""0.002""","=""5161.7653""","=""0.0006""","=""5""","=""""",,"=""21856.9287""","=""41224.751""","=""3d5.(4P).4s""","=""a 5P""","=""1""","=""3d4.(5D).4s.4p.(1P*)""","=""y 5D*""","=""0""",,"=""""","=""L14866""",
Fe,1,"=""5162.2725""","=""0.0008""","=""5162.2721""","=""0.0004""","=""9800""","=""""",,"=""33695.397""","=""53061.318""","=""3d7.(4F).4p""","=""y 5F*""","=""5""","=""3d7.(4F).4d""","=""g 5F""","=""5""",,"=""""","=""L11631""",
Fe,2,"=""5163.0152""","=""0.0008""","=""5163.0148""","=""0.0006""","=""28""","=""""",,"=""103644.766""","=""123007.901""","=""3d6.(3H).4d""","=""4K""","=""17/2""","=""3d6.(3H<6>).4f""","=""2[8]*""","=""17/2""",,"=""""","=""L18349c139""",
Fe,2,"=""5163.5724""","=""0.0005""","=""5163.5724""","=""0.0005""","=""40""","=""""",,"=""103832.057""","=""123193.101""","=""3d6.(3H).4d""","=""4K""","=""13/2""","=""3d6.(3H<5>).4f""","=""2[8]*""","=""15/2""",,"=""""","=""L18349c139""",
Fe,2,"=""5163.958""","=""""","=""5163.9577""","=""0.0004""","="":""","=""2.65e-01""",C,"=""7955.3186""","=""27314.9183""","=""3d6.(5D).4s""","=""a 4D""","=""7/2""","=""3d6.(3F2).4s""","=""a 2F""","=""7/2""",M1,"=""T9588,T10588c104""","=""L22747,L22760""",
Fe,1,"=""5164.5503""","=""0.0021""","=""5164.5514""","=""0.0004""","=""380""","=""1.6e+06""",E,"=""35767.564""","=""55124.938""","=""3d7.(4F).4p""","=""z 3G*""","=""4""","=""3d7.(4F).4d""","=""f 3F""","=""3""",,"=""T2578n""","=""L11631""",
Fe,1,"=""5164.9102""","=""0.0021""","=""5164.9111""","=""0.0008""","=""339""","=""""",,"=""33412.717""","=""52768.743""","=""3d8""","=""c 3F""","=""3""","=""3d7.(2H).4p""","=""w 3H*""","=""4""",,"=""""","=""L11631""",
Fe,1,"=""5165.4103""","=""0.0008""","=""5165.4099""","=""0.0004""","=""3240""","=""""",,"=""34039.516""","=""53393.673""","=""3d7.(4F).4p""","=""y 5F*""","=""4""","=""3d7.(4F).4d""","=""g 5F""","=""4""",,"=""""","=""L11631""",
Fe,2,"=""5165.7343""","=""0.0010""","=""5165.7326""","=""0.0008""","=""23""","=""""",,"=""103002.660""","=""122355.608""","=""3d6.(3P2).4d""","=""4D""","=""5/2""","=""3d6.(3P2<2>).4f""","=""2[3]*""","=""7/2""",,"=""""","=""L18349c139""",
Fe,2,"=""5166.1958""","=""0.0008""","=""5166.1968""","=""0.0008""","=""16""","=""""",,"=""108133.473""","=""127484.682""","=""3d6.(3G).4d""","=""4H""","=""13/2""","=""3d6.(3G<5>).4f""","=""2[7]*""","=""15/2""",,"=""""","=""L18349c139""",
Cr,1,"=""5166.2168""","=""0.0003""","=""5166.21711""","=""0.00019""","=""90""","=""""",,"=""27703.7743""","=""47054.9072""","=""3d4.4s2""","=""b 3G""","=""4""","=""3d5.(4G).4p""","=""y 3G*""","=""4""",,"=""""","=""L14866""",
Fe,1,"=""5166.2819""","=""0.0008""","=""5166.2817""","=""0.0003""","=""15500""","=""1.45e+03""",A,"=""0.000""","=""19350.891""","=""3d6.4s2""","=""a 5D""","=""4""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7D*""","=""5""",,"=""T3547""","=""L11631""",
Fe,2,"=""5166.5511""","=""0.0003""","=""5166.55135""","=""0.00022""","=""900""","=""2.82e+07""",B+,"=""84326.967""","=""103676.848""","=""3d6.(5D).4d""","=""6P""","=""5/2""","=""3d6.(5D<2>).4f""","=""2[3]*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
Mg,1,"=""5167.3216""","=""""","=""5167.3213""","=""""","=""42""","=""1.13e+07""",B+,"=""21850.405""","=""41197.403""","=""3s.3p""","=""3P*""","=""0""","=""3s.4s""","=""3S""","=""1""",,"=""c45""","=""L7428""",
Fe,1,"=""5167.4881""","=""0.0008""","=""5167.4879""","=""0.0004""","=""760000""","=""2.72e+06""",B+,"=""11976.239""","=""31322.613""","=""3d7.(4F).4s""","=""a 3F""","=""4""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3D*""","=""3""",,"=""T5720""","=""L11631""",
Fe,1,"=""5167.711""","=""0.004""","=""5167.7177""","=""0.0004""","=""398""","=""""",,"=""27543.003""","=""46888.517""","=""3d7.(2P).4s""","=""a 1P""","=""1""","=""3d7.(4P).4p""","=""u 5D*""","=""2""",,"=""""","=""L11631""",
Cr,1,"=""5167.9506""","=""0.0019""","=""5167.9507""","=""0.0004""","=""6""","=""""",,"=""27703.7743""","=""47048.4161""","=""3d4.4s2""","=""b 3G""","=""4""","=""3d5.(4G).4p""","=""y 3G*""","=""3""",,"=""""","=""L14866""",
Cr,1,"=""5168.625""","=""0.002""","=""5168.6243""","=""0.0003""","=""4""","=""""",,"=""8307.5753""","=""27649.6960""","=""3d4.4s2""","=""a 5D""","=""4""","=""3d4.(5D).4s.4p.(3P*)""","=""z 7D*""","=""4""",,"=""""","=""L14866""",
Fe,2,"=""5168.712""","=""0.005""","=""5168.7113""","=""0.0003""","=""40""","=""6.8e+05""",D+,"=""84326.967""","=""103668.762""","=""3d6.(5D).4d""","=""6P""","=""5/2""","=""3d6.(5D<2>).4f""","=""2[1]*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""5168.8978""","=""0.0008""","=""5168.8973""","=""0.0004""","=""22400""","=""3.83e+03""",A,"=""415.933""","=""19757.032""","=""3d6.4s2""","=""a 5D""","=""3""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7D*""","=""3""",,"=""T3547""","=""L11631""",
Fe,2,"=""5169.0282""","=""0.0002""","=""5169.0282""","=""0.0003""","=""7000""","=""4.2e+06""",C,"=""23317.6351""","=""42658.2444""","=""3d5.4s2""","=""a 6S""","=""5/2""","=""3d6.(5D).4p""","=""z 6P*""","=""7/2""",,"=""T7589""","=""L18349c139""",
Fe,1,"=""5169.298""","=""0.004""","=""5169.2985""","=""0.0006""","=""158""","=""""",,"=""32873.632""","=""52213.230""","=""3d8""","=""c 3F""","=""4""","=""3d7.(2D2).4p""","=""t 3D*""","=""3""",,"=""""","=""L11631""",
Fe,2,"=""5169.8008""","=""0.0017""","=""5169.80158""","=""0.00022""","=""80""","=""2.0e+06""",D+,"=""84685.245""","=""104022.961""","=""3d6.(5D).4d""","=""f 4D""","=""7/2""","=""3d6.(5D<0>).4f""","=""2[3]*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""5170.1048""","=""0.0008""","=""5170.1048""","=""0.0008""","=""23""","=""""",,"=""105063.561""","=""124400.143""","=""3d6.(3F2).4d""","=""4G""","=""11/2""","=""3d6.(3F2<4>).4f""","=""2[6]*""","=""13/2""",,"=""""","=""L18349c139""",
Fe,2,"=""5170.5021""","=""0.0015""","=""5170.5027""","=""0.0008""","=""8""","=""""",,"=""108775.110""","=""128110.204""","=""3d6.(3G).4d""","=""4I""","=""11/2""","=""3d6.(3G<3>).4f""","=""2[6]*""","=""13/2""",,"=""""","=""L18349c139""",
Fe,2,"=""5170.7762""","=""0.0004""","=""5170.7762""","=""0.0003""","=""500""","=""1.94e+07""",C+,"=""84326.967""","=""103661.038""","=""3d6.(5D).4d""","=""6P""","=""5/2""","=""3d6.(5D<2>).4f""","=""2[2]*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""5170.888""","=""0.003""","=""5170.8894""","=""0.0006""","=""4""","=""""",,"=""108181.564""","=""127515.212""","=""3d6.(3G).4d""","=""4G""","=""11/2""","=""3d6.(3G<5>).4f""","=""2[7]*""","=""13/2""",,"=""""","=""L18349c139""",
Fe,1,"=""5171.314""","=""0.004""","=""5171.3165""","=""0.0024""","=""141""","=""""",,"=""39969.853""","=""59301.904""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""3""","=""3d6.4s.(4D).4d""","=""3F""","=""4""",,"=""""","=""L11631""",
Fe,2,"=""5171.4384""","=""0.0018""","=""5171.4393""","=""0.0005""","=""9""","=""""",,"=""104064.664""","=""123396.256""","=""3d6.(3H).4d""","=""4I""","=""13/2""","=""3d6.(3H<4>).4f""","=""2[7]*""","=""15/2""",,"=""""","=""L18349c139""",
Fe,1,"=""5171.5960""","=""0.0008""","=""5171.5961""","=""0.0004""","=""162000""","=""4.46e+05""",A,"=""11976.239""","=""31307.245""","=""3d7.(4F).4s""","=""a 3F""","=""4""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3F*""","=""4""",,"=""T3831""","=""L11631""",
Fe,1,"=""5171.6728""","=""0.0008""","=""5171.6718""","=""0.0004""","=""710""","=""""",,"=""29371.812""","=""48702.535""","=""3d6.4s2""","=""b 3D""","=""3""","=""3d6.(3H).4s.4p.(3P*)""","=""y 1G*""","=""4""",,"=""""","=""L11631""",
Fe,2,"=""""","=""""","=""5172.4727""","=""0.0010""","=""""","=""1.98e-01""",C+,"=""18886.773""","=""38214.503""","=""3d7""","=""a 2P""","=""1/2""","=""3d6.(1D2).4s""","=""c 2D""","=""3/2""",E2,"=""T8961""","=""""",
Mg,1,"=""""","=""""","=""5172.684""","=""""","=""""","=""3.46e-05""",B,"=""21870.464""","=""41197.403""","=""3s.3p""","=""3P*""","=""1""","=""3s.4s""","=""3S""","=""1""",M2,"=""c43""","=""""",
Mg,1,"=""5172.6843""","=""""","=""5172.6844""","=""""","=""44""","=""3.37e+07""",B+,"=""21870.464""","=""41197.403""","=""3s.3p""","=""3P*""","=""1""","=""3s.4s""","=""3S""","=""1""",,"=""c45""","=""L7428""",
Fe,1,"=""5173.1249""","=""0.0021""","=""5173.1236""","=""0.0004""","=""182""","=""""",,"=""23783.619""","=""43108.917""","=""3d6.4s2""","=""b 3G""","=""5""","=""3d6.(3H).4s.4p.(3P*)""","=""z 5H*""","=""4""",,"=""""","=""L11631""",
Fe,1,"=""5173.503""","=""0.004""","=""5173.5016""","=""0.0008""","=""186""","=""""",,"=""24118.819""","=""43442.705""","=""3d6.4s2""","=""b 3G""","=""4""","=""3d6.(3H).4s.4p.(3P*)""","=""z 5I*""","=""4""",,"=""""","=""L11631""",
Fe,2,"=""5174.749""","=""0.006""","=""5174.7490""","=""0.0004""","=""5""","=""""",,"=""103683.078""","=""123002.306""","=""3d6.(5D).5d""","=""4F""","=""9/2""","=""3d6.(3H<6>).4f""","=""2[5]*""","=""11/2""",,"=""""","=""L18349c139""",
Fe,2,"=""5175.000""","=""0.002""","=""5175.0005""","=""0.0003""","=""60""","=""4.1e+06""",D+,"=""84326.967""","=""103645.256""","=""3d6.(5D).4d""","=""6P""","=""5/2""","=""3d6.(5D<2>).4f""","=""2[2]*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""5175.3971""","=""0.0005""","=""5175.3973""","=""0.0003""","=""900""","=""1.8e+05""",D,"=""62322.445""","=""81639.253""","=""3d6.(3H).4p""","=""z 2G*""","=""7/2""","=""3d5.4s2""","=""2F2""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""5176.7107""","=""0.0009""","=""5176.7107""","=""0.0005""","=""20""","=""""",,"=""103706.526""","=""123018.433""","=""3d6.(3H).4d""","=""4K""","=""15/2""","=""3d6.(3H<6>).4f""","=""2[7]*""","=""15/2""",,"=""""","=""L18349c139""",
